GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
document-render-service-java,uk.gov.companieshouse.documentrender,Application,0,8,0,0,0,3,0,2,0,2
document-render-service-java,uk.gov.companieshouse.documentrender.model,Document,0,3,0,0,0,1,0,1,0,1
document-render-service-java,uk.gov.companieshouse.documentrender.controller,DocumentRenderController,0,44,0,0,0,7,0,3,0,3
document-render-service-java,uk.gov.companieshouse.documentrender.config,ApplicationConfig,0,26,0,0,0,8,0,4,0,4
document-render-service-java,uk.gov.companieshouse.documentrender.exception,ErrorResponseBuilder,0,69,0,2,0,15,0,6,0,5
document-render-service-java,uk.gov.companieshouse.documentrender.exception,NotFoundException,0,3,0,0,0,2,0,1,0,1
document-render-service-java,uk.gov.companieshouse.documentrender.exception,BadRequestException,0,3,0,0,0,2,0,1,0,1
document-render-service-java,uk.gov.companieshouse.documentrender.exception,GlobalExceptionHandler,0,52,0,0,0,13,0,3,0,3
document-render-service-java,uk.gov.companieshouse.documentrender.logging,DataMapHolder,0,35,0,0,0,11,0,7,0,7
